from_id,to_id,new_hire_id
task-stage-data-day_30-01,person-0371,person-0371
task-stage-data-day_30-02,person-0371,person-0371
task-stage-data-day_30-03,person-0371,person-0371
task-stage-data-day_60-00,person-0042,person-0371
task-stage-data-day_60-01,person-0042,person-0371
task-stage-data-day_60-02,person-0371,person-0371
task-stage-data-day_90-00,person-0042,person-0371
task-stage-data-day_90-01,person-0371,person-0371
task-stage-data-day_90-02,person-0371,person-0371
task-stage-cyber-preboard-00,person-0372,person-0372
task-stage-cyber-preboard-01,person-0040,person-0372
task-stage-cyber-preboard-02,person-0372,person-0372
task-stage-cyber-preboard-03,person-0039,person-0372
task-stage-cyber-preboard-04,person-0143,person-0372
task-stage-cyber-day_1-00,person-0040,person-0372
task-stage-cyber-day_1-01,person-0037,person-0372
task-stage-cyber-day_1-02,person-0043,person-0372
task-stage-cyber-day_1-03,person-0143,person-0372
task-stage-cyber-day_1-04,person-0372,person-0372
task-stage-cyber-week_1-00,person-0372,person-0372
task-stage-cyber-week_1-01,person-0372,person-0372
task-stage-cyber-week_1-02,person-0043,person-0372
task-stage-cyber-week_1-03,person-0040,person-0372
task-stage-cyber-week_1-04,person-0043,person-0372
task-stage-cyber-day_30-00,person-0043,person-0372
task-stage-cyber-day_30-01,person-0372,person-0372
task-stage-cyber-day_30-02,person-0372,person-0372
task-stage-cyber-day_30-03,person-0372,person-0372
task-stage-cyber-day_60-00,person-0043,person-0372
task-stage-cyber-day_60-01,person-0043,person-0372
task-stage-cyber-day_60-02,person-0372,person-0372
task-stage-cyber-day_90-00,person-0043,person-0372
task-stage-cyber-day_90-01,person-0372,person-0372
task-stage-cyber-day_90-02,person-0372,person-0372
task-stage-strategy-preboard-00,person-0373,person-0373
task-stage-strategy-preboard-01,person-0040,person-0373
task-stage-strategy-preboard-02,person-0373,person-0373
task-stage-strategy-preboard-03,person-0036,person-0373
task-stage-strategy-preboard-04,person-0129,person-0373
task-stage-strategy-day_1-00,person-0036,person-0373
task-stage-strategy-day_1-01,person-0036,person-0373
task-stage-strategy-day_1-02,person-0024,person-0373
task-stage-strategy-day_1-03,person-0129,person-0373
task-stage-strategy-day_1-04,person-0373,person-0373
task-stage-strategy-week_1-00,person-0373,person-0373
task-stage-strategy-week_1-01,person-0373,person-0373
task-stage-strategy-week_1-02,person-0024,person-0373
task-stage-strategy-week_1-03,person-0039,person-0373
task-stage-strategy-week_1-04,person-0024,person-0373
task-stage-strategy-day_30-00,person-0024,person-0373
task-stage-strategy-day_30-01,person-0373,person-0373
task-stage-strategy-day_30-02,person-0373,person-0373
task-stage-strategy-day_30-03,person-0373,person-0373
task-stage-strategy-day_60-00,person-0024,person-0373
task-stage-strategy-day_60-01,person-0024,person-0373
task-stage-strategy-day_60-02,person-0373,person-0373
task-stage-strategy-day_90-00,person-0024,person-0373
task-stage-strategy-day_90-01,person-0373,person-0373
task-stage-strategy-day_90-02,person-0373,person-0373
task-stage-appdev-preboard-00,person-0374,person-0374
task-stage-appdev-preboard-01,person-0036,person-0374
task-stage-appdev-preboard-02,person-0374,person-0374
task-stage-appdev-preboard-03,person-0038,person-0374
task-stage-appdev-preboard-04,person-0100,person-0374
task-stage-appdev-day_1-00,person-0037,person-0374
task-stage-appdev-day_1-01,person-0039,person-0374
task-stage-appdev-day_1-02,person-0065,person-0374
task-stage-appdev-day_1-03,person-0100,person-0374
task-stage-appdev-day_1-04,person-0374,person-0374
task-stage-appdev-week_1-00,person-0374,person-0374
task-stage-appdev-week_1-01,person-0374,person-0374
task-stage-appdev-week_1-02,person-0065,person-0374
task-stage-appdev-week_1-03,person-0037,person-0374
task-stage-appdev-week_1-04,person-0065,person-0374
task-stage-appdev-day_30-00,person-0065,person-0374
task-stage-appdev-day_30-01,person-0374,person-0374
task-stage-appdev-day_30-02,person-0374,person-0374
task-stage-appdev-day_30-03,person-0374,person-0374
task-stage-appdev-day_60-00,person-0065,person-0374
task-stage-appdev-day_60-01,person-0065,person-0374
task-stage-appdev-day_60-02,person-0374,person-0374
task-stage-appdev-day_90-00,person-0065,person-0374
task-stage-appdev-day_90-01,person-0374,person-0374
task-stage-appdev-day_90-02,person-0374,person-0374
task-stage-cloud-preboard-00,person-0375,person-0375
task-stage-cloud-preboard-01,person-0037,person-0375
task-stage-cloud-preboard-02,person-0375,person-0375
task-stage-cloud-preboard-03,person-0037,person-0375
task-stage-cloud-preboard-04,person-0226,person-0375
task-stage-cloud-day_1-00,person-0037,person-0375
task-stage-cloud-day_1-01,person-0038,person-0375
task-stage-cloud-day_1-02,person-0066,person-0375
task-stage-cloud-day_1-03,person-0226,person-0375
task-stage-cloud-day_1-04,person-0375,person-0375
task-stage-cloud-week_1-00,person-0375,person-0375
task-stage-cloud-week_1-01,person-0375,person-0375
task-stage-cloud-week_1-02,person-0066,person-0375
task-stage-cloud-week_1-03,person-0040,person-0375
task-stage-cloud-week_1-04,person-0066,person-0375
task-stage-cloud-day_30-00,person-0066,person-0375
task-stage-cloud-day_30-01,person-0375,person-0375
task-stage-cloud-day_30-02,person-0375,person-0375
task-stage-cloud-day_30-03,person-0375,person-0375
task-stage-cloud-day_60-00,person-0066,person-0375
task-stage-cloud-day_60-01,person-0066,person-0375
task-stage-cloud-day_60-02,person-0375,person-0375
task-stage-cloud-day_90-00,person-0066,person-0375
task-stage-cloud-day_90-01,person-0375,person-0375
task-stage-cloud-day_90-02,person-0375,person-0375
task-stage-data-preboard-00,person-0376,person-0376
task-stage-data-preboard-01,person-0040,person-0376
task-stage-data-preboard-02,person-0376,person-0376
task-stage-data-preboard-03,person-0040,person-0376
task-stage-data-preboard-04,person-0192,person-0376
task-stage-data-day_1-00,person-0037,person-0376
task-stage-data-day_1-01,person-0039,person-0376
task-stage-data-day_1-02,person-0022,person-0376
task-stage-data-day_1-03,person-0192,person-0376
task-stage-data-day_1-04,person-0376,person-0376
task-stage-data-week_1-00,person-0376,person-0376
task-stage-data-week_1-01,person-0376,person-0376
task-stage-data-week_1-02,person-0022,person-0376
task-stage-data-week_1-03,person-0037,person-0376
task-stage-data-week_1-04,person-0022,person-0376
task-stage-data-day_30-00,person-0022,person-0376
task-stage-data-day_30-01,person-0376,person-0376
task-stage-data-day_30-02,person-0376,person-0376
task-stage-data-day_30-03,person-0376,person-0376
task-stage-data-day_60-00,person-0022,person-0376
task-stage-data-day_60-01,person-0022,person-0376
task-stage-data-day_60-02,person-0376,person-0376
task-stage-data-day_90-00,person-0022,person-0376
task-stage-data-day_90-01,person-0376,person-0376
task-stage-data-day_90-02,person-0376,person-0376
task-stage-cyber-preboard-00,person-0377,person-0377
task-stage-cyber-preboard-01,person-0036,person-0377
task-stage-cyber-preboard-02,person-0377,person-0377
task-stage-cyber-preboard-03,person-0036,person-0377
task-stage-cyber-preboard-04,person-0223,person-0377
task-stage-cyber-day_1-00,person-0036,person-0377
task-stage-cyber-day_1-01,person-0040,person-0377
task-stage-cyber-day_1-02,person-0023,person-0377
task-stage-cyber-day_1-03,person-0223,person-0377
task-stage-cyber-day_1-04,person-0377,person-0377
task-stage-cyber-week_1-00,person-0377,person-0377
task-stage-cyber-week_1-01,person-0377,person-0377
task-stage-cyber-week_1-02,person-0023,person-0377
task-stage-cyber-week_1-03,person-0037,person-0377
task-stage-cyber-week_1-04,person-0023,person-0377
task-stage-cyber-day_30-00,person-0023,person-0377
task-stage-cyber-day_30-01,person-0377,person-0377
task-stage-cyber-day_30-02,person-0377,person-0377
task-stage-cyber-day_30-03,person-0377,person-0377
task-stage-cyber-day_60-00,person-0023,person-0377
task-stage-cyber-day_60-01,person-0023,person-0377
task-stage-cyber-day_60-02,person-0377,person-0377
task-stage-cyber-day_90-00,person-0023,person-0377
task-stage-cyber-day_90-01,person-0377,person-0377
task-stage-cyber-day_90-02,person-0377,person-0377
task-stage-strategy-preboard-00,person-0378,person-0378
task-stage-strategy-preboard-01,person-0037,person-0378
task-stage-strategy-preboard-02,person-0378,person-0378
task-stage-strategy-preboard-03,person-0036,person-0378
task-stage-strategy-preboard-04,person-0199,person-0378
task-stage-strategy-day_1-00,person-0039,person-0378
task-stage-strategy-day_1-01,person-0040,person-0378
task-stage-strategy-day_1-02,person-0054,person-0378
task-stage-strategy-day_1-03,person-0199,person-0378
task-stage-strategy-day_1-04,person-0378,person-0378
task-stage-strategy-week_1-00,person-0378,person-0378
task-stage-strategy-week_1-01,person-0378,person-0378
task-stage-strategy-week_1-02,person-0054,person-0378
task-stage-strategy-week_1-03,person-0039,person-0378
task-stage-strategy-week_1-04,person-0054,person-0378
task-stage-strategy-day_30-00,person-0054,person-0378
task-stage-strategy-day_30-01,person-0378,person-0378
task-stage-strategy-day_30-02,person-0378,person-0378
task-stage-strategy-day_30-03,person-0378,person-0378
task-stage-strategy-day_60-00,person-0054,person-0378
task-stage-strategy-day_60-01,person-0054,person-0378
task-stage-strategy-day_60-02,person-0378,person-0378
task-stage-strategy-day_90-00,person-0054,person-0378
task-stage-strategy-day_90-01,person-0378,person-0378
task-stage-strategy-day_90-02,person-0378,person-0378
task-stage-appdev-preboard-00,person-0379,person-0379
task-stage-appdev-preboard-01,person-0039,person-0379
task-stage-appdev-preboard-02,person-0379,person-0379
task-stage-appdev-preboard-03,person-0039,person-0379
task-stage-appdev-preboard-04,person-0115,person-0379
task-stage-appdev-day_1-00,person-0039,person-0379
task-stage-appdev-day_1-01,person-0037,person-0379
task-stage-appdev-day_1-02,person-0050,person-0379
task-stage-appdev-day_1-03,person-0115,person-0379
task-stage-appdev-day_1-04,person-0379,person-0379
task-stage-appdev-week_1-00,person-0379,person-0379
task-stage-appdev-week_1-01,person-0379,person-0379
task-stage-appdev-week_1-02,person-0050,person-0379
task-stage-appdev-week_1-03,person-0038,person-0379
task-stage-appdev-week_1-04,person-0050,person-0379
task-stage-appdev-day_30-00,person-0050,person-0379
task-stage-appdev-day_30-01,person-0379,person-0379
task-stage-appdev-day_30-02,person-0379,person-0379
task-stage-appdev-day_30-03,person-0379,person-0379
task-stage-appdev-day_60-00,person-0050,person-0379
task-stage-appdev-day_60-01,person-0050,person-0379
task-stage-appdev-day_60-02,person-0379,person-0379
task-stage-appdev-day_90-00,person-0050,person-0379
task-stage-appdev-day_90-01,person-0379,person-0379
task-stage-appdev-day_90-02,person-0379,person-0379
task-stage-cloud-preboard-00,person-0380,person-0380
task-stage-cloud-preboard-01,person-0037,person-0380
task-stage-cloud-preboard-02,person-0380,person-0380
task-stage-cloud-preboard-03,person-0038,person-0380
task-stage-cloud-preboard-04,person-0151,person-0380
task-stage-cloud-day_1-00,person-0039,person-0380
task-stage-cloud-day_1-01,person-0040,person-0380
task-stage-cloud-day_1-02,person-0031,person-0380
task-stage-cloud-day_1-03,person-0151,person-0380
task-stage-cloud-day_1-04,person-0380,person-0380
task-stage-cloud-week_1-00,person-0380,person-0380
task-stage-cloud-week_1-01,person-0380,person-0380
task-stage-cloud-week_1-02,person-0031,person-0380
task-stage-cloud-week_1-03,person-0037,person-0380
task-stage-cloud-week_1-04,person-0031,person-0380
task-stage-cloud-day_30-00,person-0031,person-0380
task-stage-cloud-day_30-01,person-0380,person-0380
task-stage-cloud-day_30-02,person-0380,person-0380
task-stage-cloud-day_30-03,person-0380,person-0380
task-stage-cloud-day_60-00,person-0031,person-0380
task-stage-cloud-day_60-01,person-0031,person-0380
task-stage-cloud-day_60-02,person-0380,person-0380
task-stage-cloud-day_90-00,person-0031,person-0380
task-stage-cloud-day_90-01,person-0380,person-0380
task-stage-cloud-day_90-02,person-0380,person-0380
task-stage-data-preboard-00,person-0381,person-0381
task-stage-data-preboard-01,person-0036,person-0381
task-stage-data-preboard-02,person-0381,person-0381
task-stage-data-preboard-03,person-0039,person-0381
task-stage-data-preboard-04,person-0252,person-0381
task-stage-data-day_1-00,person-0037,person-0381
task-stage-data-day_1-01,person-0037,person-0381
task-stage-data-day_1-02,person-0042,person-0381
task-stage-data-day_1-03,person-0252,person-0381
task-stage-data-day_1-04,person-0381,person-0381
task-stage-data-week_1-00,person-0381,person-0381
task-stage-data-week_1-01,person-0381,person-0381
task-stage-data-week_1-02,person-0042,person-0381
task-stage-data-week_1-03,person-0038,person-0381
task-stage-data-week_1-04,person-0042,person-0381
task-stage-data-day_30-00,person-0042,person-0381
task-stage-data-day_30-01,person-0381,person-0381
task-stage-data-day_30-02,person-0381,person-0381
task-stage-data-day_30-03,person-0381,person-0381
task-stage-data-day_60-00,person-0042,person-0381
task-stage-data-day_60-01,person-0042,person-0381
task-stage-data-day_60-02,person-0381,person-0381
task-stage-data-day_90-00,person-0042,person-0381
task-stage-data-day_90-01,person-0381,person-0381
task-stage-data-day_90-02,person-0381,person-0381
task-stage-cyber-preboard-00,person-0382,person-0382
task-stage-cyber-preboard-01,person-0036,person-0382
task-stage-cyber-preboard-02,person-0382,person-0382
task-stage-cyber-preboard-03,person-0039,person-0382
task-stage-cyber-preboard-04,person-0078,person-0382
task-stage-cyber-day_1-00,person-0038,person-0382
task-stage-cyber-day_1-01,person-0040,person-0382
task-stage-cyber-day_1-02,person-0033,person-0382
task-stage-cyber-day_1-03,person-0078,person-0382
task-stage-cyber-day_1-04,person-0382,person-0382
task-stage-cyber-week_1-00,person-0382,person-0382
task-stage-cyber-week_1-01,person-0382,person-0382
task-stage-cyber-week_1-02,person-0033,person-0382
task-stage-cyber-week_1-03,person-0036,person-0382
task-stage-cyber-week_1-04,person-0033,person-0382
task-stage-cyber-day_30-00,person-0033,person-0382
task-stage-cyber-day_30-01,person-0382,person-0382
task-stage-cyber-day_30-02,person-0382,person-0382
task-stage-cyber-day_30-03,person-0382,person-0382
task-stage-cyber-day_60-00,person-0033,person-0382
task-stage-cyber-day_60-01,person-0033,person-0382
task-stage-cyber-day_60-02,person-0382,person-0382
task-stage-cyber-day_90-00,person-0033,person-0382
task-stage-cyber-day_90-01,person-0382,person-0382
task-stage-cyber-day_90-02,person-0382,person-0382
task-stage-strategy-preboard-00,person-0383,person-0383
task-stage-strategy-preboard-01,person-0036,person-0383
task-stage-strategy-preboard-02,person-0383,person-0383
task-stage-strategy-preboard-03,person-0040,person-0383
task-stage-strategy-preboard-04,person-0254,person-0383
task-stage-strategy-day_1-00,person-0037,person-0383
task-stage-strategy-day_1-01,person-0037,person-0383
task-stage-strategy-day_1-02,person-0049,person-0383
task-stage-strategy-day_1-03,person-0254,person-0383
task-stage-strategy-day_1-04,person-0383,person-0383
task-stage-strategy-week_1-00,person-0383,person-0383
task-stage-strategy-week_1-01,person-0383,person-0383
task-stage-strategy-week_1-02,person-0049,person-0383
task-stage-strategy-week_1-03,person-0038,person-0383
task-stage-strategy-week_1-04,person-0049,person-0383
task-stage-strategy-day_30-00,person-0049,person-0383
task-stage-strategy-day_30-01,person-0383,person-0383
task-stage-strategy-day_30-02,person-0383,person-0383
task-stage-strategy-day_30-03,person-0383,person-0383
task-stage-strategy-day_60-00,person-0049,person-0383
task-stage-strategy-day_60-01,person-0049,person-0383
task-stage-strategy-day_60-02,person-0383,person-0383
task-stage-strategy-day_90-00,person-0049,person-0383
task-stage-strategy-day_90-01,person-0383,person-0383
task-stage-strategy-day_90-02,person-0383,person-0383
task-stage-appdev-preboard-00,person-0384,person-0384
task-stage-appdev-preboard-01,person-0040,person-0384
task-stage-appdev-preboard-02,person-0384,person-0384
task-stage-appdev-preboard-03,person-0038,person-0384
task-stage-appdev-preboard-04,person-0250,person-0384
task-stage-appdev-day_1-00,person-0039,person-0384
task-stage-appdev-day_1-01,person-0040,person-0384
task-stage-appdev-day_1-02,person-0075,person-0384
task-stage-appdev-day_1-03,person-0250,person-0384
task-stage-appdev-day_1-04,person-0384,person-0384
task-stage-appdev-week_1-00,person-0384,person-0384
task-stage-appdev-week_1-01,person-0384,person-0384
task-stage-appdev-week_1-02,person-0075,person-0384
task-stage-appdev-week_1-03,person-0038,person-0384
task-stage-appdev-week_1-04,person-0075,person-0384
task-stage-appdev-day_30-00,person-0075,person-0384
task-stage-appdev-day_30-01,person-0384,person-0384
task-stage-appdev-day_30-02,person-0384,person-0384
task-stage-appdev-day_30-03,person-0384,person-0384
task-stage-appdev-day_60-00,person-0075,person-0384
task-stage-appdev-day_60-01,person-0075,person-0384
task-stage-appdev-day_60-02,person-0384,person-0384
task-stage-appdev-day_90-00,person-0075,person-0384
task-stage-appdev-day_90-01,person-0384,person-0384
task-stage-appdev-day_90-02,person-0384,person-0384
task-stage-cloud-preboard-00,person-0385,person-0385
task-stage-cloud-preboard-01,person-0040,person-0385
task-stage-cloud-preboard-02,person-0385,person-0385
task-stage-cloud-preboard-03,person-0037,person-0385
task-stage-cloud-preboard-04,person-0206,person-0385
task-stage-cloud-day_1-00,person-0039,person-0385
task-stage-cloud-day_1-01,person-0038,person-0385
task-stage-cloud-day_1-02,person-0056,person-0385
task-stage-cloud-day_1-03,person-0206,person-0385
task-stage-cloud-day_1-04,person-0385,person-0385
task-stage-cloud-week_1-00,person-0385,person-0385
task-stage-cloud-week_1-01,person-0385,person-0385
task-stage-cloud-week_1-02,person-0056,person-0385
task-stage-cloud-week_1-03,person-0039,person-0385
task-stage-cloud-week_1-04,person-0056,person-0385
task-stage-cloud-day_30-00,person-0056,person-0385
task-stage-cloud-day_30-01,person-0385,person-0385
task-stage-cloud-day_30-02,person-0385,person-0385
task-stage-cloud-day_30-03,person-0385,person-0385
task-stage-cloud-day_60-00,person-0056,person-0385
task-stage-cloud-day_60-01,person-0056,person-0385
task-stage-cloud-day_60-02,person-0385,person-0385
task-stage-cloud-day_90-00,person-0056,person-0385
task-stage-cloud-day_90-01,person-0385,person-0385
task-stage-cloud-day_90-02,person-0385,person-0385
task-stage-data-preboard-00,person-0386,person-0386
task-stage-data-preboard-01,person-0040,person-0386
task-stage-data-preboard-02,person-0386,person-0386
task-stage-data-preboard-03,person-0037,person-0386
task-stage-data-preboard-04,person-0172,person-0386
task-stage-data-day_1-00,person-0038,person-0386
task-stage-data-day_1-01,person-0037,person-0386
task-stage-data-day_1-02,person-0072,person-0386
task-stage-data-day_1-03,person-0172,person-0386
task-stage-data-day_1-04,person-0386,person-0386
task-stage-data-week_1-00,person-0386,person-0386
task-stage-data-week_1-01,person-0386,person-0386
task-stage-data-week_1-02,person-0072,person-0386
task-stage-data-week_1-03,person-0038,person-0386
task-stage-data-week_1-04,person-0072,person-0386
task-stage-data-day_30-00,person-0072,person-0386
task-stage-data-day_30-01,person-0386,person-0386
task-stage-data-day_30-02,person-0386,person-0386
task-stage-data-day_30-03,person-0386,person-0386
task-stage-data-day_60-00,person-0072,person-0386
task-stage-data-day_60-01,person-0072,person-0386
task-stage-data-day_60-02,person-0386,person-0386
task-stage-data-day_90-00,person-0072,person-0386
task-stage-data-day_90-01,person-0386,person-0386
task-stage-data-day_90-02,person-0386,person-0386
task-stage-cyber-preboard-00,person-0387,person-0387
task-stage-cyber-preboard-01,person-0036,person-0387
task-stage-cyber-preboard-02,person-0387,person-0387
task-stage-cyber-preboard-03,person-0036,person-0387
task-stage-cyber-preboard-04,person-0153,person-0387
task-stage-cyber-day_1-00,person-0038,person-0387
task-stage-cyber-day_1-01,person-0040,person-0387
task-stage-cyber-day_1-02,person-0048,person-0387
task-stage-cyber-day_1-03,person-0153,person-0387
task-stage-cyber-day_1-04,person-0387,person-0387
task-stage-cyber-week_1-00,person-0387,person-0387
task-stage-cyber-week_1-01,person-0387,person-0387
task-stage-cyber-week_1-02,person-0048,person-0387
task-stage-cyber-week_1-03,person-0037,person-0387
task-stage-cyber-week_1-04,person-0048,person-0387
task-stage-cyber-day_30-00,person-0048,person-0387
task-stage-cyber-day_30-01,person-0387,person-0387
task-stage-cyber-day_30-02,person-0387,person-0387
task-stage-cyber-day_30-03,person-0387,person-0387
task-stage-cyber-day_60-00,person-0048,person-0387
task-stage-cyber-day_60-01,person-0048,person-0387
task-stage-cyber-day_60-02,person-0387,person-0387
task-stage-cyber-day_90-00,person-0048,person-0387
task-stage-cyber-day_90-01,person-0387,person-0387
task-stage-cyber-day_90-02,person-0387,person-0387
task-stage-strategy-preboard-00,person-0388,person-0388
task-stage-strategy-preboard-01,person-0039,person-0388
task-stage-strategy-preboard-02,person-0388,person-0388
task-stage-strategy-preboard-03,person-0038,person-0388
task-stage-strategy-preboard-04,person-0124,person-0388
task-stage-strategy-day_1-00,person-0037,person-0388
task-stage-strategy-day_1-01,person-0036,person-0388
task-stage-strategy-day_1-02,person-0074,person-0388
task-stage-strategy-day_1-03,person-0124,person-0388
task-stage-strategy-day_1-04,person-0388,person-0388
task-stage-strategy-week_1-00,person-0388,person-0388
task-stage-strategy-week_1-01,person-0388,person-0388
task-stage-strategy-week_1-02,person-0074,person-0388
task-stage-strategy-week_1-03,person-0040,person-0388
task-stage-strategy-week_1-04,person-0074,person-0388
task-stage-strategy-day_30-00,person-0074,person-0388
task-stage-strategy-day_30-01,person-0388,person-0388
task-stage-strategy-day_30-02,person-0388,person-0388
task-stage-strategy-day_30-03,person-0388,person-0388
task-stage-strategy-day_60-00,person-0074,person-0388
task-stage-strategy-day_60-01,person-0074,person-0388
task-stage-strategy-day_60-02,person-0388,person-0388
task-stage-strategy-day_90-00,person-0074,person-0388
task-stage-strategy-day_90-01,person-0388,person-0388
task-stage-strategy-day_90-02,person-0388,person-0388
task-stage-appdev-preboard-00,person-0389,person-0389
task-stage-appdev-preboard-01,person-0039,person-0389
task-stage-appdev-preboard-02,person-0389,person-0389
task-stage-appdev-preboard-03,person-0038,person-0389
task-stage-appdev-preboard-04,person-0150,person-0389
task-stage-appdev-day_1-00,person-0036,person-0389
task-stage-appdev-day_1-01,person-0038,person-0389
task-stage-appdev-day_1-02,person-0070,person-0389
task-stage-appdev-day_1-03,person-0150,person-0389
task-stage-appdev-day_1-04,person-0389,person-0389
task-stage-appdev-week_1-00,person-0389,person-0389
task-stage-appdev-week_1-01,person-0389,person-0389
task-stage-appdev-week_1-02,person-0070,person-0389
task-stage-appdev-week_1-03,person-0036,person-0389
task-stage-appdev-week_1-04,person-0070,person-0389
task-stage-appdev-day_30-00,person-0070,person-0389
task-stage-appdev-day_30-01,person-0389,person-0389
task-stage-appdev-day_30-02,person-0389,person-0389
task-stage-appdev-day_30-03,person-0389,person-0389
task-stage-appdev-day_60-00,person-0070,person-0389
task-stage-appdev-day_60-01,person-0070,person-0389
task-stage-appdev-day_60-02,person-0389,person-0389
task-stage-appdev-day_90-00,person-0070,person-0389
task-stage-appdev-day_90-01,person-0389,person-0389
task-stage-appdev-day_90-02,person-0389,person-0389
task-stage-cloud-preboard-00,person-0390,person-0390
task-stage-cloud-preboard-01,person-0039,person-0390
task-stage-cloud-preboard-02,person-0390,person-0390
task-stage-cloud-preboard-03,person-0038,person-0390
task-stage-cloud-preboard-04,person-0121,person-0390
task-stage-cloud-day_1-00,person-0039,person-0390
task-stage-cloud-day_1-01,person-0038,person-0390
task-stage-cloud-day_1-02,person-0066,person-0390
task-stage-cloud-day_1-03,person-0121,person-0390
task-stage-cloud-day_1-04,person-0390,person-0390
task-stage-cloud-week_1-00,person-0390,person-0390
task-stage-cloud-week_1-01,person-0390,person-0390
task-stage-cloud-week_1-02,person-0066,person-0390
task-stage-cloud-week_1-03,person-0036,person-0390
task-stage-cloud-week_1-04,person-0066,person-0390
task-stage-cloud-day_30-00,person-0066,person-0390
task-stage-cloud-day_30-01,person-0390,person-0390
task-stage-cloud-day_30-02,person-0390,person-0390
task-stage-cloud-day_30-03,person-0390,person-0390
task-stage-cloud-day_60-00,person-0066,person-0390
task-stage-cloud-day_60-01,person-0066,person-0390
task-stage-cloud-day_60-02,person-0390,person-0390
task-stage-cloud-day_90-00,person-0066,person-0390
task-stage-cloud-day_90-01,person-0390,person-0390
task-stage-cloud-day_90-02,person-0390,person-0390
task-stage-data-preboard-00,person-0391,person-0391
task-stage-data-preboard-01,person-0040,person-0391
task-stage-data-preboard-02,person-0391,person-0391
task-stage-data-preboard-03,person-0036,person-0391
task-stage-data-preboard-04,person-0262,person-0391
task-stage-data-day_1-00,person-0037,person-0391
task-stage-data-day_1-01,person-0037,person-0391
task-stage-data-day_1-02,person-0047,person-0391
task-stage-data-day_1-03,person-0262,person-0391
task-stage-data-day_1-04,person-0391,person-0391
task-stage-data-week_1-00,person-0391,person-0391
task-stage-data-week_1-01,person-0391,person-0391
task-stage-data-week_1-02,person-0047,person-0391
task-stage-data-week_1-03,person-0038,person-0391
task-stage-data-week_1-04,person-0047,person-0391
task-stage-data-day_30-00,person-0047,person-0391
task-stage-data-day_30-01,person-0391,person-0391
task-stage-data-day_30-02,person-0391,person-0391
task-stage-data-day_30-03,person-0391,person-0391
task-stage-data-day_60-00,person-0047,person-0391
task-stage-data-day_60-01,person-0047,person-0391
task-stage-data-day_60-02,person-0391,person-0391
task-stage-data-day_90-00,person-0047,person-0391
task-stage-data-day_90-01,person-0391,person-0391
task-stage-data-day_90-02,person-0391,person-0391
task-stage-cyber-preboard-00,person-0392,person-0392
task-stage-cyber-preboard-01,person-0038,person-0392
task-stage-cyber-preboard-02,person-0392,person-0392
task-stage-cyber-preboard-03,person-0040,person-0392
task-stage-cyber-preboard-04,person-0198,person-0392
task-stage-cyber-day_1-00,person-0039,person-0392
task-stage-cyber-day_1-01,person-0036,person-0392
task-stage-cyber-day_1-02,person-0048,person-0392
task-stage-cyber-day_1-03,person-0198,person-0392
task-stage-cyber-day_1-04,person-0392,person-0392
task-stage-cyber-week_1-00,person-0392,person-0392
task-stage-cyber-week_1-01,person-0392,person-0392
task-stage-cyber-week_1-02,person-0048,person-0392
task-stage-cyber-week_1-03,person-0038,person-0392
task-stage-cyber-week_1-04,person-0048,person-0392
task-stage-cyber-day_30-00,person-0048,person-0392
task-stage-cyber-day_30-01,person-0392,person-0392
task-stage-cyber-day_30-02,person-0392,person-0392
